point type,Lat,Lon
start ,46.94792,4.70762
start ,47.00934,4.7941
start ,46.90862,4.6862
start ,46.97441,4.78107
start ,52.14128,-0.50767
start ,52.1413,-0.50766
start ,52.14144,-0.50767
start ,46.90235,4.75261
start ,47.14468,4.93727
start ,45.36515,5.91826
start ,45.30399,5.8787
start ,45.30398,5.87863
start ,45.30443,5.88053
start ,45.30319,5.8784
start ,45.30384,5.87843
start ,46.98185,4.76502
start ,46.98191,4.76503
start ,46.87172,4.74189
start ,52.14137,-0.50815
start ,45.54788,5.93722
start ,46.95057,4.72576
start ,47.0797,4.84882
start ,52.14144,-0.50758
start ,52.14155,-0.50781
start ,52.14146,-0.50775
start ,52.14164,-0.50747
start ,52.14154,-0.5078
start ,52.14146,-0.50773
start ,52.14108,-0.50715
start ,52.14148,-0.50805
start ,52.14055,-0.50813
start ,52.14136,-0.50777
start ,52.14153,-0.50717
start ,52.14151,-0.50761
start ,52.14186,-0.5074
start ,52.14148,-0.50759
start ,52.14144,-0.50902
start ,52.14142,-0.50734
start ,52.14144,-0.50768
start ,52.14156,-0.50753
start ,52.14118,-0.50673
start ,52.14189,-0.51067
start ,52.14144,-0.50755
start ,46.98209,4.71154
start ,52.14539,-0.41759
start ,47.05147,4.77225
start ,46.9782,4.74854
start ,46.95543,4.74555
start ,46.97835,4.74853
start ,47.00838,4.78071
start ,46.98312,4.64423
start ,52.14144,-0.50758
start ,45.52356,5.92497
start ,45.48031,5.91452
start ,46.9781,4.74842
start ,46.97444,4.78132
start ,47.08956,4.67447
start ,47.07984,4.84895
start ,52.05853,-0.72588
start ,52.06001,-0.72325
start ,46.95695,4.74598
start ,46.97842,4.74847
start ,52.14164,-0.50792
start ,52.14063,-0.50698
start ,46.8636,4.75994
start ,52.14143,-0.50805
start ,52.1411,-0.50821
start ,46.97437,4.78099
start ,46.96939,4.97177
start ,52.13571,-0.47411
start ,52.1464,-0.46877
start ,52.15421,-0.50259
start ,52.15471,-0.49736
start ,52.14166,-0.50756
start ,52.14142,-0.50776
start ,46.97447,4.78114
start ,44.86595,4.86804
start ,44.57006,4.51203
start ,44.57,4.51205
start ,44.5885,4.63294
start ,44.57158,4.5116
start ,44.56976,4.51215
start ,44.58918,4.53647
start ,44.57031,4.51208
start ,44.5707,4.51105
start ,44.57,4.51209
start ,44.51126,4.38721
start ,44.57014,4.51236
start ,44.56919,4.51207
start ,44.57015,4.51182
start ,44.58726,4.53535
start ,44.56984,4.51232
start ,44.57005,4.51229
start ,44.56995,4.51234
start ,44.56969,4.51249
start ,44.56949,4.51263
start ,46.98187,4.76487
start ,52.22632,-0.55
start ,52.14089,-0.50698
start ,51.55803,-0.77921
start ,52.14159,-0.50712
start ,47.10141,4.84813
start ,52.14169,-0.50742
start ,46.81465,1.20799
start ,46.81445,1.20836
start ,46.79541,1.30135
start ,51.98883,-0.61692
start ,52.14145,-0.50749
start ,51.989,-0.61673
start ,52.14079,-0.50859
start ,52.14142,-0.50818
start ,46.8668,4.57826
start ,52.06144,-0.38054
start ,52.14148,-0.50767
start ,52.0639,-0.39216
start ,46.80119,1.34306
start ,46.85154,1.06991
start ,52.14077,-0.50647
start ,46.81512,1.20875
start ,46.98176,4.76519
start ,46.97417,4.78158
start ,46.81458,1.20822
start ,46.75393,1.18512
start ,46.8146,1.20788
start ,46.75401,1.18503
start ,46.81457,1.20797
start ,46.75403,1.185
start ,46.81504,1.20961
start ,44.57,4.512
start ,51.14052,0.90499
start ,46.25802,2.35802
start ,46.79757,1.42866
start ,45.81536,1.23348
start ,46.89594,4.75218
start ,48.73739,1.3482
start ,51.63063,-0.26411
start ,52.13991,-0.50142
start ,47.00518,4.71355
start ,52.14136,-0.50767
start ,46.98153,4.76518
start ,46.97433,4.78124
start ,52.14161,-0.50752
start ,46.81447,1.20766
start ,46.81479,1.20821
start ,46.9743,4.78127
start ,46.95277,4.71499
start ,52.14137,-0.50732
start ,52.14157,-0.50752
start ,52.1286,-0.47226
start ,52.11897,-0.49904
start ,52.14155,-0.50773
start ,52.11836,-0.4981
start ,52.1415,-0.50723
start ,52.11923,-0.49879
start ,46.98038,4.66279
start ,52.14151,-0.50804
start ,52.14138,-0.50769
start ,52.14151,-0.50755
start ,46.8147,1.20758
start ,52.14124,-0.50723
start ,52.14491,-0.46873
start ,52.14182,-0.50767
start ,47.01993,4.7673
start ,46.95654,4.7178
start ,46.81487,1.20762
start ,46.97466,4.77994
start ,46.91402,4.80488
